JENIS_KAPAL,DERMAGA,PALKA,BD,SHIFTING,WAG,BAD_WEATHER,JUMLAH_CC,DISCHARGE,LOADING,DELAY
0,3,22,182,158,0,0,4,1254,886,2
1,3,23,40,21,0,235,3,945,285,0
0,4,40,13,233,0,44,4,1728,1466,0
1,4,13,12,65,0,0,2,531,310,0
0,4,27,371,362,0,0,4,1325,1534,0
1,2,10,65,72,0,0,3,537,326,0
1,2,7,7,45,0,0,3,259,214,0
1,2,11,21,78,20,0,2,139,376,0
1,1,11,0,108,1731,654,2,95,386,2
1,2,9,63,130,304,0,2,207,460,0
1,2,14,119,49,0,177,2,463,186,0
1,2,11,41,117,1057,104,2,90,417,0
1,2,6,130,18,0,0,3,210,175,0
1,1,10,38,120,0,82,2,465,334,2
1,4,28,218,255,0,0,3,1283,1217,2
1,4,28,264,260,0,428,3,1253,1291,0
1,1,9,14,64,0,0,2,218,465,2
0,3,24,232,357,0,0,3,947,1222,2
0,3,25,18,166,0,0,4,1154,813,2
1,4,7,0,173,266,0,2,146,543,0
1,3,4,5,5,0,0,2,74,94,0
0,2,18,775,165,55,0,3,754,1006,1
1,4,14,3,18,0,0,3,449,305,0
0,2,18,53,55,0,0,3,824,560,0
1,2,10,152,116,473,347,3,444,498,2
1,3,6,11,26,0,185,2,302,96,0
0,4,40,3,308,0,1067,4,1698,1886,2
1,1,4,3,5,0,225,2,305,102,0
0,4,40,50,415,0,1165,3,1532,2044,0
0,3,29,73,325,0,339,3,1324,1105,2
1,3,8,24,64,0,0,2,233,427,0
1,4,8,13,47,0,0,2,306,294,0
1,1,8,0,5,760,0,2,218,105,2
1,1,4,39,46,0,0,2,138,182,0
0,3,29,34,225,0,296,3,886,1044,2
0,4,29,19,172,0,205,3,1257,974,2
1,2,6,48,52,203,0,3,306,285,2
1,4,29,4,95,0,0,3,1297,1138,0
0,3,22,197,209,0,1188,3,931,1087,2
1,1,8,209,108,0,116,3,244,454,2
1,3,8,0,124,56,231,3,156,582,0
1,4,29,212,129,0,0,3,1278,1141,2
1,2,6,5,23,33,0,3,166,95,0
1,4,15,70,108,0,0,3,377,659,0
1,4,29,83,203,272,0,3,1286,1406,0
0,4,24,97,259,0,345,3,1054,1292,0
1,3,9,5,167,189,0,3,216,684,0
0,2,10,64,95,0,0,3,561,579,0
1,4,6,0,30,243,0,3,248,171,0
1,2,7,134,36,0,134,2,180,226,0
1,2,6,3,9,0,0,3,250,115,0
0,3,24,19,16,0,0,3,949,642,0
0,3,27,33,190,0,0,3,376,1404,0
0,1,23,0,30,0,0,3,845,314,2
1,1,10,42,27,0,0,2,260,363,0
0,4,29,146,195,345,0,3,1451,1365,1
1,4,18,31,53,0,0,3,456,597,0
0,3,10,11,108,0,0,3,363,410,0
1,4,8,11,113,557,421,2,117,455,0
1,2,13,0,49,53,0,2,136,287,2
1,2,8,96,89,221,0,2,141,497,0
0,4,24,50,142,0,0,3,988,1197,0
1,4,29,106,291,741,0,4,1271,1587,0
1,3,7,0,4,0,0,3,329,166,0
1,2,11,14,64,0,296,2,265,428,2
1,2,8,69,39,0,272,2,341,179,1
1,3,8,115,73,0,0,3,234,467,0
0,4,27,161,366,0,0,3,1393,1568,0
1,3,9,0,12,333,0,2,150,221,0
1,4,40,47,188,0,0,4,1221,891,1
1,4,13,53,31,0,0,2,319,250,0
1,4,40,55,146,0,0,3,1468,1750,0
1,2,10,46,40,0,386,3,246,239,0
1,1,10,9,18,188,0,3,211,197,0
1,4,7,0,3,0,0,3,278,139,0
0,1,10,21,52,0,0,3,466,229,0
1,2,10,49,34,0,0,3,386,167,1
1,3,14,94,77,0,0,2,406,388,0
0,4,29,164,165,0,0,3,886,1135,0
1,4,12,37,133,0,0,3,156,642,0
1,4,29,161,405,251,0,3,1343,1563,2
1,3,20,8,11,0,0,2,685,291,0
1,3,14,143,98,624,0,2,183,424,0
1,3,8,27,115,0,0,3,400,348,0
0,4,40,41,223,0,0,3,1588,1529,0
1,3,20,144,27,0,201,3,712,217,0
1,4,29,118,217,0,293,3,1390,1523,2
0,4,31,9,224,32,0,3,1058,1137,1
0,4,24,73,121,0,378,3,1150,1108,0
1,1,5,3,27,0,0,2,95,197,2
0,4,27,25,213,0,0,3,1297,1505,0
1,3,27,11,295,0,398,3,1418,1020,2
1,4,13,93,105,0,0,2,253,432,0
1,3,18,91,54,0,0,3,728,689,0
1,2,6,125,20,0,0,2,241,201,0
0,4,27,22,219,0,0,3,1331,1496,2
1,4,9,203,117,40,253,2,140,568,1
1,2,5,40,103,0,0,2,165,403,0
1,2,8,54,30,0,0,3,356,148,0
0,3,24,285,293,0,88,3,893,1265,0
1,3,16,28,80,103,221,2,259,368,0
1,4,8,52,175,0,0,2,105,558,0
1,3,13,23,132,0,0,3,638,578,0
1,2,9,101,160,104,0,3,143,554,0
1,2,5,46,16,0,0,3,380,170,0
0,4,24,30,235,0,0,3,1113,1163,0
0,2,9,42,114,105,0,3,303,352,0
1,2,6,101,10,0,146,3,360,101,0
1,3,12,76,4,56,0,3,485,104,0
1,4,10,8,45,0,69,3,537,228,0
1,3,14,82,104,0,0,2,466,597,2
1,4,29,94,228,0,0,3,1331,1346,2
1,3,6,0,16,0,0,2,392,175,0
0,4,40,110,230,0,0,3,1701,1813,0
0,3,20,27,38,0,0,3,846,506,2
0,3,14,134,58,0,267,3,679,601,0
1,2,4,152,63,0,34,3,673,367,0
1,1,11,20,16,0,0,3,201,185,0
1,2,8,6,71,0,0,2,238,369,0
0,4,12,36,102,250,0,3,674,508,0
1,2,11,0,146,0,0,2,228,478,2
1,4,29,42,354,0,0,3,1352,1464,0
1,4,29,33,242,0,0,3,1276,1415,0
1,4,40,105,351,0,333,4,1713,2016,0
1,4,15,8,51,0,0,3,515,386,0
1,4,29,52,344,1292,0,3,1346,1600,2
1,3,9,37,113,28,0,2,243,417,0
1,3,5,17,27,0,0,2,314,128,0
0,4,24,24,137,0,0,3,1020,1108,0
1,3,11,103,53,0,0,3,461,350,0
0,4,27,67,353,0,0,3,1234,1573,0
1,4,26,88,277,0,203,3,1482,1532,0
1,3,18,1,3,0,0,3,657,183,0
1,2,16,180,73,0,0,2,384,446,2
1,3,19,53,19,0,132,3,351,439,0
1,3,42,215,341,0,0,4,1275,1352,2
